regime_id,cycle,rare_overload,loop_activation_z_lag2,overload_asinh,high_precursor
R1,3,0,-5.046318152513176,-0.3108989268529668,0
R1,4,0,-3.944848298765982,-0.3604737017647273,0
R1,5,0,-2.064624743843908,-0.29487914523062236,0
R1,6,0,-2.630988777266204,-0.3291707193658112,0
R1,7,0,-0.7001586506870843,-0.3263837809456625,0
R1,8,0,-1.4428558389264765,-0.33656140701359283,0
R1,9,0,-2.5503717029975004,-0.30492126714158,0
R1,10,0,-1.4746447726021814,-0.2674615800896942,0
R1,11,0,-0.7585935196179255,-0.2806883735732618,0
R1,12,0,-0.24854033330593392,-0.280781398831636,0
R1,13,0,-0.10157990487809661,-0.24724402856779548,0
R1,14,0,0.13498057599414431,-0.23582792160231114,0
R1,15,0,0.265354736693769,-0.25614989258568666,0
R1,16,0,-0.2115313130524301,-0.225841608599821,0
R1,17,0,-0.5120317833003271,-0.2188352152904842,0
R1,18,0,-0.11638106452524137,-0.20737388572376758,0
R1,19,1,0.3005954449857494,-0.18661822486051824,1
R1,20,0,0.9437702823488343,-0.2015138375104815,1
R1,21,0,0.22799658037783227,-0.19538316649185394,0
R1,22,0,0.11964667974824823,-0.20640370923062543,0
R1,23,0,0.15143851222246077,-0.2249653820194092,0
R1,24,0,0.3934078131734303,-0.23063559531797,1
R1,25,0,-0.434803012812773,-0.21906792565147837,0
R1,26,0,0.5171512096596173,-0.19611837096208584,1
R1,27,1,0.13573001124191375,-0.1907165599936395,0
R1,28,1,0.10157990487809661,-0.1894451335245748,0
R1,29,1,0.7324673632731951,-0.18351187329221547,1
R1,30,1,0.5147467191155511,-0.1925962080266283,1
R3,3,0,-1.9955258178629263,0.7468958400065009,0
R3,4,0,-0.302114012157268,0.18990457189760607,0
R3,5,1,0.8039223599688882,0.780228511074184,1
R3,6,0,0.13186596939544173,-0.02721933125892652,0
R3,7,1,0.9669187519436305,0.7960574760262535,1
R3,8,0,-0.35727069286151647,-0.05192510112773592,0
R3,9,1,0.9099517070585728,0.777609588607892,1
R3,10,0,-0.45971351677005023,-0.06520874261345819,0
R3,11,1,0.7865555012094263,0.7605084058259138,0
R3,12,0,-0.4934831374518064,-0.003067547073078732,0
R3,13,1,0.7865177759921277,0.8509677587454352,0
R3,14,0,-0.28761184046817034,0.006238983573239761,0
R3,15,0,0.878475230992501,0.7597616915697145,1
R3,16,0,-0.2037162522735754,0.0072117078175871294,0
R3,17,0,0.7571798762270004,0.7136084429902004,0
R3,18,0,-0.21232665910516735,0.020260083148826095,0
R3,19,1,0.7923982865049897,0.7906955206932408,1
R3,20,0,-0.1816029993257276,0.03364368016730724,0
R3,21,0,0.8473149619537356,0.5751423004796097,1
R3,22,0,-0.21477800112130355,0.12697998505784952,0
R3,23,0,0.6276014808979602,0.5544592557489686,0
R3,24,0,-0.15967907278982543,0.20297552484669584,0
R3,25,0,0.6939563987297732,0.7079162826564238,0
R3,26,0,-0.23170612256837592,0.15001228256338342,0
R3,27,0,0.7837860095545388,0.6112066522451491,0
R3,28,0,-0.20713485266082862,0.11493634300597984,0
R3,29,0,0.7685065451970813,0.6009419127901608,0
R3,30,0,-0.13186596939544162,0.07756806938160346,0
R5,3,1,4.063765196876952,1.3226571428387692,1
R5,4,0,3.0248650797296825,1.0015526887776263,1
R5,5,0,0.08608469357981353,0.8206759358878508,0
R5,6,1,0.8995298650137808,1.0952559646619258,1
R5,7,0,-0.05609534126633619,0.9356332875334834,0
R5,8,1,0.31270032252557917,1.1907380734312836,0
R5,9,0,0.7247753495270877,0.9546944057688772,1
R5,10,1,1.351905173655762,1.0484834842658932,1
R5,11,0,0.6056847342151113,0.7643307776233655,0
R5,12,0,1.1333876088153911,0.8587869359058276,1
R5,13,0,0.4460567160936228,0.5921336789255349,0
R5,14,0,0.27663800989538867,0.7217206324999331,0
R5,15,0,-0.19025777413375267,0.5703075049787194,0
R5,16,0,-0.5079444063015075,0.6808093292651544,0
R5,17,0,-0.04712269661983865,0.5755228847821717,0
R5,18,0,0.11738304531999484,0.5715205198078153,0
R5,19,0,0.04925535372143378,0.6301379742645613,0
R5,20,0,-0.9974019679300825,0.6091489780350974,0
R5,21,0,-0.26854306718556126,0.9385234846667033,0
R5,22,0,-1.1262021242970552,0.6257001032898761,0
R5,23,0,0.058768690587840074,1.0483121706138763,0
R5,24,0,-0.9344962586099363,0.31306854848437243,0
R5,25,0,0.04712269661983918,0.983987845804077,0
R5,26,0,-2.052788734274674,0.01899297936858887,0
R5,27,0,-0.378359073659797,0.6515680182201152,0
R5,28,0,-2.9063335598308746,-0.08872561830210429,0
R5,29,0,-0.6137283742973483,0.6470214278426281,0
R5,30,0,-2.853811428725058,-0.01590352041466596,0
R6,3,1,2.7893488074926913,2.372297530291921,1
R6,4,1,2.291271022701378,1.8177489722865605,1
R6,5,1,1.699666754870439,1.6512405953991796,1
R6,6,0,0.5356989650984227,1.4547626192975913,0
R6,7,0,0.36826655421431803,1.4505848438274038,0
R6,8,0,-0.03027604496053373,1.47843499128703,0
R6,9,0,0.6071650832492521,1.5246772578714796,0
R6,10,0,0.8060152037931451,1.3687436233122954,1
R6,11,1,0.7663545062547948,1.5566420775791237,1
R6,12,0,0.6696290883122542,1.289044859608663,0
R6,13,0,0.795099101747004,1.3954211322908936,1
R6,14,0,0.5880308005335642,1.0741798559541669,0
R6,15,0,0.07429189437794316,1.002975323599376,0
R6,16,0,0.2837661023362392,0.9133687743391318,0
R6,17,0,-0.42757386036952405,1.0356853756829925,0
R6,18,0,-0.11693939609373169,0.895355167548207,0
R6,19,0,-0.43871612448839853,0.815419541484226,0
R6,20,0,-0.016067069174035633,0.7868909264460082,0
R6,21,0,-0.5971606951929648,0.46681926863459977,0
R6,22,0,0.016067069174035633,0.743946564335871,0
R6,23,0,-0.8491991110623587,0.7176068203733688,0
R6,24,0,-0.06532693287365089,0.9856975723924223,0
R6,25,0,-0.5828168432268251,0.32640467669263706,0
R6,26,0,0.02574070548506763,0.8986292067721726,0
R6,27,0,-0.7700349438958648,0.31528286420877233,0
R6,28,0,-0.3077523686101072,1.0822689547158666,0
R6,29,0,-0.7686615524835302,0.43080277102338566,0
R6,30,0,-0.057213616482846716,1.0186817509993162,0
R6c,3,1,8.609841917979233,2.9874174786021053,1
R6c,4,1,8.14069272496632,2.633901096592984,1
R6c,5,1,7.001726198475321,2.5426791923996634,1
R6c,6,1,4.141168200852797,2.195114575187837,1
R6c,7,0,4.701119399533178,1.8888785849294447,1
R6c,8,0,1.7081323487251034,1.6874861180462877,1
R6c,9,0,-1.5382209817678127,1.3548718296999107,0
R6c,10,0,0.18559363045853344,1.2847809639269612,0
R6c,11,0,-2.5174610033860683,1.290712068663024,0
R6c,12,0,-3.020800962042174,1.2491216045660816,0
R6c,13,0,-2.2223814897604375,1.7535791749570409,0
R6c,14,0,-1.5084742612336153,1.831313160045602,0
R6c,15,0,-0.08420645879524129,1.5460923637193849,0
R6c,16,0,0.9051788465123602,1.656935500780594,0
R6c,17,0,0.2658935074612179,1.7483794050379629,0
R6c,18,0,-0.01990191820844635,1.6000214842207405,0
R6c,19,0,0.4474433122455305,1.564731731247691,0
R6c,20,0,0.36225590059973656,1.7664792713982311,0
R6c,21,0,-0.07815582396652909,1.5106029826887957,0
R6c,22,0,-0.022154947796907257,1.7160830366757227,0
R6c,23,0,-0.5084848410687928,1.6560040700768948,0
R6c,24,0,0.4086731999907107,1.6757791336099093,0
R6c,25,0,-0.47346486426927625,1.5668034732221927,0
R6c,26,0,0.3385491174717408,1.6549336797125744,0
R6c,27,0,0.01990191820844635,1.4587589485500425,0
R6c,28,0,-0.026874532022154236,1.4654176061312671,0
R6c,29,0,-0.5801706740679687,1.4794517942719871,0
R6c,30,0,-0.6324374128544887,1.6065778483861053,0
