tag,alpha_mult,friction,lid_gap_radii,input,run_dir,completed_cycles,hot_side_p0,hot_side_pN,hot_side_gain,hot_bottom_gain,hot_lid_gain,Z_cold_1,Z_cold_N,fabric_cold_N,rattler_cold_N,force_gini_cold_N,survival_N,alpha2_N,work_proxy_total,hot_bottom_p0,hot_bottom_pN,cold_bottom_p0,cold_bottom_pN,hot_side_pN_abs,cold_side_pN,hot_lid_pN_abs,cold_lid_pN,cold_porosity_N,cold_keff_N,ratchet_gain_bottom,hot_load_risk,cold_load_risk,cold_memory_index,hot_susceptibility_index,loss_index,projection_angle_rad,projection_norm,route_class,selected_for_targeted_ensemble,long_cycle_true_force_route
a050_mu010_g020,0.5,0.1,0.2,inputs/matrix/in.a050_mu010_g020,runs/regime_matrix_10k/a050_mu010_g020,10,28.102754910726432,7.919654935706945,0.2818106253591573,2.154277785566824,0.0,4.377410740777371,5.61724854119276,0.0028679208677088,0.0358025912372663,0.415332791377802,0.8428625046916052,0.005261108341225,0.0009082473315103,63.684852092151026,137.19486213922983,505.9478104453792,895.444930749236,7.919654935706945,17.5420825015571,0.0,0.0,0.415027955499397,0.521490934468821,1.769836556780407,145.11451707493677,912.9870132507932,1.5800863295058523,-0.6999561765019706,-1.2847499670074962,-0.4170058227578265,1.728181546514872,buffered reservoir,False,False
a050_mu010_g002,0.5,0.1,0.02,inputs/matrix/in.a050_mu010_g002,runs/regime_matrix_10k/a050_mu010_g002,10,18.4379977978457,3.7763642563086983,0.2048142264530441,1.5965703612879996,0.0,4.613589160320443,5.5954900603303335,0.0025776416953692,0.0386707546236771,0.4135549045610853,0.83954781088002,-0.0142008826853664,0.0008686213172965,84.09214960927524,134.2590336831651,777.7105433137954,959.9541166760772,3.7763642563086983,8.6349102784142,0.0,0.0,0.41410732626531,0.52376282038842,1.2343334225427225,138.0353979394738,968.5890269544914,1.6045802365329438,-0.723825496862676,-1.2986079178795071,-0.4237679749172453,1.7602843762814626,buffered reservoir,True,True
a050_mu010_g000,0.5,0.1,0.0,inputs/matrix/in.a050_mu010_g000,runs/regime_matrix_10k/a050_mu010_g000,10,14.272728485118645,4.77662104712455,0.3346676882492971,1.824859873817524,0.0,4.469238377843719,5.586943620178041,0.0030314208209166,0.0368941641938674,0.4141366782396786,0.8384615384615385,0.0176581615605961,0.0008222100728879,69.38300132981944,126.6142550518154,558.7449034797171,929.4299133677208,4.77662104712455,9.99984642681558,0.0,0.0,0.411249907371387,0.530863238365248,1.663424413501536,131.39087609893994,939.4297597945364,1.678245328774334,-0.7379729981155609,-1.299838066890323,-0.4142797367360312,1.8333334474395382,buffered reservoir,False,False
a050_mu030_g020,0.5,0.3,0.2,inputs/matrix/in.a050_mu030_g020,runs/regime_matrix_10k/a050_mu030_g020,10,28.1318987066841,9.993604282290631,0.3552410161322017,2.3581538679372502,0.0,4.260508357234695,5.409949559885273,0.0059507832652977,0.0340223518939768,0.428012776852828,0.8400900900900901,0.0556945575290739,0.0005703617075534,71.82993163652684,169.386031122344,388.86541632662176,843.4261800512803,9.993604282290631,16.13671850773846,0.0,0.0,0.424964907768281,0.497451688947286,2.168941090258479,179.37963540463463,859.5628985590188,1.1118923681484425,-0.7204490831174267,-1.2369429743827112,-0.5749317467919484,1.3248967958718492,buffered reservoir,False,False
a050_mu030_g002,0.5,0.3,0.02,inputs/matrix/in.a050_mu030_g002,runs/regime_matrix_10k/a050_mu030_g002,10,16.41651921073232,11.90186118568078,0.7249929801135871,2.7488081622326,0.0,4.502620907922065,5.446938977351399,0.003430219411895,0.0331322322223321,0.4360436783303472,0.843066277989557,0.0791694986408355,0.000551542953509,64.83908349843686,178.23020195218436,636.3257644880043,861.6570725510142,11.90186118568078,12.440349574301507,0.0,0.0,0.419138470531552,0.511440298463858,1.3541131298436646,190.13206313786517,874.0974221253157,1.2436553477422725,-0.7079614195241271,-1.1817708531277145,-0.5175087103948091,1.4310443723038673,buffered reservoir,False,False
a050_mu030_g000,0.5,0.3,0.0,inputs/matrix/in.a050_mu030_g000,runs/regime_matrix_10k/a050_mu030_g000,10,33.574136831879606,11.161336426985525,0.3324385220348395,1.8939344171077368,0.0,4.492185954500495,5.423145400593472,0.0037917512764597,0.0328387734915924,0.4311689677892325,0.840314304041052,-0.0032087664715956,0.0005209349991021,92.83301968468996,175.8196510248743,522.2473970336868,891.9825905310372,11.161336426985525,16.051349903926038,0.0,0.0,0.419169386410803,0.511365279210841,1.7079694328730206,186.98098745185985,908.0339404349633,1.263610707914202,-0.718763693332173,-1.2208025153783695,-0.5171754403007629,1.4537308100222466,buffered reservoir,False,False
a050_mu060_g020,0.5,0.6,0.2,inputs/matrix/in.a050_mu060_g020,runs/regime_matrix_10k/a050_mu060_g020,10,9.331704420353256,43.81207840525979,4.694970653989195,3.3311637011646864,0.0,4.399762634754228,5.129067352388488,0.0075823947857948,0.0351102759370982,0.4492074251276657,0.8078834051010269,0.3297021456783009,0.0005953822624643,96.38492281830784,321.073956231907,660.8706353232352,701.3597890019552,43.81207840525979,14.384556949869827,0.0,0.0,0.425119886551009,0.497083683251518,1.0612663833352445,364.8860346371668,715.744345951825,0.7742101146410468,-0.43761402668443045,-0.9782847270633025,-0.514467959572823,0.8893297127407046,buffered reservoir,False,False
a050_mu060_g002,0.5,0.6,0.02,inputs/matrix/in.a050_mu060_g002,runs/regime_matrix_10k/a050_mu060_g002,10,25.837595024028943,43.593218171054254,1.6872010777517257,2.6079288644222505,0.0,4.618336465235882,5.206211057264365,0.0065931079538468,0.0319454059934724,0.4373129846164861,0.8193569661995054,0.2722824741992198,0.0005862843806502,119.6906000810255,312.1445707513265,794.6744737392336,746.5113851889057,43.593218171054254,17.362752451158624,0.0,0.0,0.42109989469083,0.506697628247322,0.939392681982469,355.7377889223808,763.8741376400643,1.0338400672918693,-0.4500774727787755,-1.1061967418931173,-0.4106005239793239,1.127561535456485,buffered reservoir,True,False
a050_mu060_g000,0.5,0.6,0.0,inputs/matrix/in.a050_mu060_g000,runs/regime_matrix_10k/a050_mu060_g000,10,4.478375427824141,48.370843223984664,10.80097995435056,3.764966184413959,0.0,4.635014836795253,5.193076162215628,0.006853828876892,0.0321463897131552,0.4428655422848717,0.8160021107483263,0.3225055713399452,0.0005561900526838,84.16994407526379,316.89699318738224,852.2704865421408,747.6174806255623,48.370843223984664,11.525027701229526,0.0,0.0,0.420657092110933,0.507765326230792,0.8772068168860568,365.2678364113669,759.1425083267918,0.9935180821680489,-0.4352217068613026,-1.0578712563635129,-0.412881370631808,1.0846640556956535,buffered reservoir,False,False
a100_mu010_g020,1.0,0.1,0.2,inputs/matrix/in.a100_mu010_g020,runs/regime_matrix_10k/a100_mu010_g020,10,7.26688840634434,7.463637432695718,1.0270747279096244,0.6930186198947109,0.0,3.9459994065868855,3.830877262387499,0.0128018550982978,0.1148254376421718,0.4831379743076843,0.5579894386857032,1.860365721063764,0.0016445694449884,72.32621871905975,50.1234162788858,502.55160442126936,349.10712279072754,7.463637432695718,3.4714754949150777,0.0,4.7716231987238045,0.425628641064263,0.495877093675596,0.6946692035592124,57.58705371158152,357.35022148436644,-0.5325074644541299,-0.6614899509964571,0.11536671691782112,-2.248586009998384,0.8491955928810875,weakly coupled,False,False
a100_mu010_g002,1.0,0.1,0.02,inputs/matrix/in.a100_mu010_g002,runs/regime_matrix_10k/a100_mu010_g002,10,16.684220273909215,8.135642587779918,0.487624980623304,0.3028870631300795,0.0,4.237958658886361,3.816437543269706,0.016712615489945,0.1211551775294234,0.4932682832947465,0.5547343058088043,1.9658366686126412,0.001683791616557,160.84752883279972,48.718635619897505,803.2686835738632,373.8606001666202,8.135642587779918,12.075594601098231,0.0,6.104607636549765,0.421645131416689,0.505385324404565,0.4654240950901486,56.854278207677424,392.0408024042682,-0.5032635222448946,-0.6535899947450318,0.21409593674986907,-2.226974301623656,0.8248963898897534,weakly coupled,False,False
a100_mu010_g000,1.0,0.1,0.0,inputs/matrix/in.a100_mu010_g000,runs/regime_matrix_10k/a100_mu010_g000,10,10.35350686737473,5.270825709022822,0.5090860301287761,0.2815018669132872,0.0,4.244708209693373,3.8646884272997033,0.0147380927633001,0.1140454995054401,0.4929799486252694,0.5606645682577798,1.790687010728587,0.0016163118354516,155.46123225102872,43.76262711130473,797.5825786378455,339.00846558599335,5.270825709022822,2.65160926429049,0.0,7.084324698209598,0.421262394674043,0.506306239604524,0.4250449729794378,49.033452820327554,348.7443995484934,-0.45865488470807864,-0.6809064948546433,0.1844106759196972,-2.163579814374243,0.820973786427933,weakly coupled,False,False
a100_mu030_g020,1.0,0.3,0.2,inputs/matrix/in.a100_mu030_g020,runs/regime_matrix_10k/a100_mu030_g020,10,6.8379232435372606,9.99976195906855,1.4623975149939925,0.3114879641916362,0.0,4.352487389971318,3.709623182672337,0.0221979155717455,0.1286717436455345,0.487992026942036,0.5597012425896775,1.5753796658733583,0.0012561483170395,245.13025035139867,76.35512264374329,1131.3988239099442,368.4465106040584,9.99976195906855,2.9329694697826696,0.0,0.0,0.42558117379413,0.495989573950915,0.3256557306032568,86.35488460281184,371.3794800738411,-0.6087214594334355,-0.6967094293587728,0.07823940444399158,-2.288894803340433,0.9251734130054746,weakly coupled,False,False
a100_mu030_g002,1.0,0.3,0.02,inputs/matrix/in.a100_mu030_g002,runs/regime_matrix_10k/a100_mu030_g002,10,29.739939776515016,12.588219344775354,0.4232765580351308,0.2523612162640399,0.2922352532001817,4.576006329739887,3.780437147660963,0.0212009965634464,0.1080011868262288,0.4906911069626363,0.5646484439868478,1.4131190178300015,0.0012689929553779,335.02945981823916,84.54844196401513,1201.1292189030846,372.43742476962206,12.588219344775354,6.72900520416363,14.849111796065069,0.2126919341599384,0.421609959170797,0.505469899393905,0.3100727373110993,111.98577310485555,379.3791219079456,-0.4748492230481457,-0.6768632410373615,0.09061736480658676,-2.1825576600017307,0.826816564720996,weakly coupled,True,True
a100_mu030_g000,1.0,0.3,0.0,inputs/matrix/in.a100_mu030_g000,runs/regime_matrix_10k/a100_mu030_g000,10,27.574613813336256,12.608189069252258,0.457239008118199,0.2050196445567029,0.5431989382783807,4.601186943620178,3.8154302670623146,0.0207477365980787,0.105242334322453,0.474172061856056,0.568041237113402,1.3697179956320231,0.0012705855925654,404.87856360317414,83.00805919855121,1173.1712360836834,361.5080798672911,12.608189069252258,2.05666932505683,13.762531836960616,4.1666566412336214,0.421242803273851,0.506353413989216,0.3081460478643242,109.37878010476408,367.7314058335815,-0.3217459935430224,-0.6782374920066988,-0.05335114984875533,-2.013743120973168,0.7506840746442697,weakly coupled,False,False
a100_mu060_g020,1.0,0.6,0.2,inputs/matrix/in.a100_mu060_g020,runs/regime_matrix_10k/a100_mu060_g020,10,39.68292668909229,42.83365867220652,1.079397671643515,0.868749468874412,1.037113524955743,4.40371872218376,3.7489862525961826,0.0269307616616357,0.1034516862822668,0.5022353060220731,0.570566658667855,1.421703657004017,0.0019127619622892,311.107297697937,270.2742996380363,991.3169799806644,304.9155647711615,42.83365867220652,4.622913182136317,37.6501318711754,2.35690061292068,0.42562007128563,0.495897399498314,0.3075863431463757,350.75809018141825,311.8953785662185,-0.675905184324254,-0.2509838746018887,0.2916382954551067,-2.786043390050349,0.720999808256965,weakly coupled,False,False
a100_mu060_g002,1.0,0.6,0.02,inputs/matrix/in.a100_mu060_g002,runs/regime_matrix_10k/a100_mu060_g002,10,191.07936133957116,178.03087112951758,0.9317116714302556,0.6362392988362582,0.0370191316084768,4.57936900405499,4.009099001087924,0.0173150672191321,0.0760557808327564,0.5203258350191067,0.6068464018659532,0.9422458409922544,0.0019981078715517,1339.5001171653737,852.2426153363831,701.472715671878,231.0321729182688,178.03087112951758,2.9490256529386247,21.587231681521537,8.696878554253473,0.421635304590048,0.505408952836478,0.3293530421877974,1051.8607181474224,242.6780771254609,-0.5143919081385508,0.8494176841311575,0.36674459193934433,2.1153100022614644,0.9930304311918936,excitable overload,False,False
a100_mu060_g000,1.0,0.6,0.0,inputs/matrix/in.a100_mu060_g000,runs/regime_matrix_10k/a100_mu060_g000,10,179.63137944611594,131.2649779271528,0.7307463669872245,0.5409521782658053,0.0355664356150548,4.6395647873392685,4.084075173095945,0.013065654755773,0.0711177052423343,0.5107903014201369,0.6248184270595559,1.1885846380673986,0.0019916733178596,1382.7256610069285,747.9884582657235,742.8919156886564,236.21082181235408,131.2649779271528,4.411621802704554,23.683595807584027,0.0,0.421192144051828,0.506475412740781,0.3179612226542916,902.9370320004602,240.62244361505864,-0.3631788047653827,0.582494910203127,0.24266818833826873,2.1283078920332423,0.6864394835987809,weakly coupled,True,False
a150_mu010_g020,1.5,0.1,0.2,inputs/matrix/in.a150_mu010_g020,runs/regime_matrix_10k/a150_mu010_g020,10,45.01703493200044,3.2879162414809486,0.0730371568551203,0.0726194638059656,1.4940417859483637,4.356047868657897,3.0117693601028583,0.0151139903247817,0.1888042725744239,0.5455975773697623,0.4224938541382136,0.4650262092846478,0.0045337667873292,774.2882432181683,56.22839705376646,1116.0412244218608,201.94019836315857,3.2879162414809486,3.106460459879462,44.09906768158378,17.985029248795165,0.425603445326374,0.495936796018338,0.1809433145874777,103.6153809768312,223.0316880718332,-1.6001530643278024,-0.12616787805596696,1.5058131045293595,-3.06290806163554,1.605119360898373,lossy transitional,False,False
a150_mu010_g002,1.5,0.1,0.02,inputs/matrix/in.a150_mu010_g002,runs/regime_matrix_10k/a150_mu010_g002,10,7.413937340460252,20.947702250688735,2.8254490547647815,0.2226511037418397,0.0,4.265057857778657,4.356047868657897,0.0252767817973709,0.0790228464049055,0.4869191128372144,0.630871286422483,0.2394426598521226,0.0041295218135264,910.5090415714818,202.72584307281505,464.54977487428977,450.0727585601745,20.947702250688735,24.995507863279105,0.0,0.0,0.420113407043488,0.509078654486978,0.9688364582287596,223.6735453235038,475.0682664234536,-0.040024248921496766,0.01912587807833425,0.4321587855621935,2.695815629181899,0.04435921227881805,weakly coupled,True,False
a150_mu010_g000,1.5,0.1,0.0,inputs/matrix/in.a150_mu010_g000,runs/regime_matrix_10k/a150_mu010_g000,10,50.67480607665157,24.01947262023355,0.4739923934568449,0.1710332228569209,0.0,4.210880316518299,4.25024727992087,0.0246435155803722,0.0776458951533135,0.4975201614587135,0.6135936113575865,0.2690293407131698,0.0038824205243532,953.4205498793442,163.06658938388202,456.2483182021575,364.71041767278933,24.01947262023355,6.410973454324884,0.0,0.0,0.419667603314718,0.51015750023869,0.799368245585929,187.0860620041156,371.12139112711424,-0.18315021642511348,-0.06216523634456909,0.5157492703983025,-2.8143722294234856,0.1934128185678034,weakly coupled,False,False
a150_mu030_g020,1.5,0.3,0.2,inputs/matrix/in.a150_mu030_g020,runs/regime_matrix_10k/a150_mu030_g020,10,169.44899527882083,180.47497864742357,1.065069629657349,0.0703336175632025,0.0154692697005343,4.326377212936406,3.4313124320047472,0.0059721122269323,0.129462961131441,0.5353889127437735,0.4927765547605944,0.3272050429668414,0.0032977772087896,4416.807352708664,310.65003919575224,621.0519883375266,198.1518669554924,180.47497864742357,2.551740352089877,68.86505274294618,0.9102187573601324,0.425556926892635,0.496047037937395,0.3190584213181871,559.990070586122,201.6138260649424,-1.2100746175766621,0.49041206490177364,1.016344053076167,2.7565478075269887,1.3056739920456892,lossy transitional,False,False
a150_mu030_g002,1.5,0.3,0.02,inputs/matrix/in.a150_mu030_g002,runs/regime_matrix_10k/a150_mu030_g002,10,342.2160587032732,290.26892494895566,0.8482036934468947,0.0444636129599517,0.0450446683042089,4.695480170111759,3.6243694985659185,0.008148010297826,0.0936603698941746,0.5211999276170639,0.5174659160279454,0.2491036384304672,0.0042441327174809,13548.898410506605,602.4329749584709,443.02903179896725,211.9284872007367,290.26892494895566,4.426414035721585,577.4783785909702,5.049908525349568,0.421582104983901,0.50553688518299,0.4783625270339015,1470.180278498397,221.40480976180783,-0.8619757619031819,1.344666645930736,1.0160140139299305,2.1408420419966894,1.597225908501107,excitable overload,False,False
a150_mu030_g000,1.5,0.3,0.0,inputs/matrix/in.a150_mu030_g000,runs/regime_matrix_10k/a150_mu030_g000,10,399.1256983206439,211.53556891608352,0.5299973662586445,0.0498411580979147,0.0288550473592004,4.683283877349159,3.778832838773491,0.0131493257798631,0.0984174085064292,0.5248149697303095,0.5266490945811796,0.0576703164422673,0.0051084155966286,13577.097282117382,676.6982521487816,422.4019233827517,250.99204940935388,211.53556891608352,14.703073818857357,371.2209618084538,4.045000248306737,0.421174397157138,0.506518156613706,0.5942019567508505,1259.454782873319,269.74012347651797,-0.7982120530080132,1.3408804930409568,1.1850832383052878,2.1077450112384564,1.5604816494227116,excitable overload,False,False
a150_mu060_g020,1.5,0.6,0.2,inputs/matrix/in.a150_mu060_g020,runs/regime_matrix_10k/a150_mu060_g020,10,1270.2284095624248,269.7659914017401,0.2123759706293064,0.0684975791841754,0.0087223809535449,4.580358025912373,3.575511818811196,0.0091596650920248,0.1086935021263969,0.517320063428158,0.5303473237279878,0.2173599017188463,0.0052099511187638,18124.1868115318,1241.4629212716875,243.3162607927362,160.8475725269276,269.7659914017401,0.6996066536404381,132.17854587663734,0.0203647362166821,0.425543971016571,0.496077744843346,0.6610638023240962,1643.407458550065,161.56754391678473,-0.9391381598695827,2.1809989042272058,1.1333258559452302,1.9774006589464497,2.37460243063202,excitable overload,True,True
a150_mu060_g002,1.5,0.6,0.02,inputs/matrix/in.a150_mu060_g002,runs/regime_matrix_10k/a150_mu060_g002,10,2285.1142229374987,263.04493755261274,0.1151123803406511,0.0154489021018836,0.0645111533133246,4.874493126298091,3.89555929186035,0.0087525463172952,0.0756601720898031,0.5286017571883596,0.5711962351638465,0.1834609876313044,0.0057677247873611,32179.326299850993,497.1352617109671,140.2801360069923,182.79422655818385,263.04493755261274,3.0467656256806146,1705.0744880388083,0.0,0.421349011419669,0.506097714756594,1.303065649644597,2465.2546873023884,185.84099218386447,-0.6886476754466347,1.4253552020238025,1.2297007253221819,2.0208660788494237,1.5829949693016616,excitable overload,False,False
a150_mu060_g000,1.5,0.6,0.0,inputs/matrix/in.a150_mu060_g000,runs/regime_matrix_10k/a150_mu060_g000,10,2099.520060120785,338.6494525625565,0.1612985076899308,0.0209089086609405,0.0628452563383992,4.892185954500494,4.021958456973294,0.0070585127773083,0.0737883283877349,0.5183454709522712,0.5920135879926514,0.0941381922645325,0.0058028147525347,32859.61931325898,687.058778854209,129.24264101816,265.86795392982947,338.6494525625565,7.207466044686907,1728.287576084634,0.0,0.420993825620853,0.506953226642159,2.057122570657405,2753.9958075013997,273.07541997451636,-0.5090443405806062,1.8856038832427398,1.100445948195463,1.8344741986582773,1.9531073050852183,excitable overload,False,False
